,date,time,loc,population,wd
140,20201006,20,11380551,27057.6739,220
141,20201006,21,11380551,27315.9561,221
142,20201006,22,11380551,27134.6632,222
143,20201006,23,11380551,25596.3792,223
144,20201007,00,11380551,25073.1744,300
145,20201007,01,11380551,24791.3412,301
146,20201007,02,11380551,24711.6986,302
147,20201007,03,11380551,24716.9983,303
148,20201007,04,11380551,24764.0457,304
149,20201007,05,11380551,24562.3386,305
150,20201007,06,11380551,24658.8163,306
151,20201007,07,11380551,26801.1254,307
152,20201007,08,11380551,25019.6259,308
153,20201007,09,11380551,23846.3375,309
154,20201007,10,11380551,23225.4853,310
155,20201007,11,11380551,22932.1889,311
156,20201007,12,11380551,22653.9921,312
157,20201007,13,11380551,22452.0843,313
158,20201007,14,11380551,22503.5512,314
159,20201007,15,11380551,22727.2587,315
160,20201007,16,11380551,23302.6161,316
161,20201007,17,11380551,23958.2253,317
162,20201007,18,11380551,25856.1228,318
163,20201007,19,11380551,26999.6228,319
164,20201007,20,11380551,27556.4871,320
165,20201007,21,11380551,27469.7323,321
166,20201007,22,11380551,27565.1538,322
167,20201007,23,11380551,25487.3414,323
168,20201008,00,11380551,25136.6128,400
169,20201008,01,11380551,24806.5832,401
170,20201008,02,11380551,24696.4775,402
171,20201008,03,11380551,24753.2501,403
172,20201008,04,11380551,24764.9879,404
173,20201008,05,11380551,24625.9049,405
174,20201008,06,11380551,24969.7452,406
175,20201008,07,11380551,27117.4472,407
176,20201008,08,11380551,25261.3933,408
177,20201008,09,11380551,23977.628,409
178,20201008,10,11380551,23432.0527,410
179,20201008,11,11380551,22777.2488,411
180,20201008,12,11380551,22595.7558,412
181,20201008,13,11380551,22487.0798,413
182,20201008,14,11380551,22298.5404,414
183,20201008,15,11380551,22453.0567,415
184,20201008,16,11380551,23176.7397,416
185,20201008,17,11380551,23758.6435,417
186,20201008,18,11380551,25206.1191,418
187,20201008,19,11380551,26532.6733,419
188,20201008,20,11380551,27283.2788,420
189,20201008,21,11380551,27880.6146,421
190,20201008,22,11380551,27533.4783,422
191,20201008,23,11380551,26212.4469,423
192,20201009,00,11380551,25367.6804,500
193,20201009,01,11380551,25078.2159,501
194,20201009,02,11380551,24947.9167,502
195,20201009,03,11380551,24863.354,503
196,20201009,04,11380551,24944.4875,504
197,20201009,05,11380551,24774.3129,505
198,20201009,06,11380551,25060.5295,506
199,20201009,07,11380551,25946.0594,507
200,20201009,08,11380551,25779.2259,508
201,20201009,09,11380551,25260.3596,509
202,20201009,10,11380551,24892.0945,510
203,20201009,11,11380551,24488.0732,511
204,20201009,12,11380551,24540.0769,512
205,20201009,13,11380551,24271.626,513
206,20201009,14,11380551,23782.9461,514
207,20201009,15,11380551,23711.4136,515
208,20201009,16,11380551,24722.066,516
209,20201009,17,11380551,25462.8779,517
210,20201009,18,11380551,26293.4831,518
211,20201009,19,11380551,27306.9371,519
212,20201009,20,11380551,27485.6094,520
213,20201009,21,11380551,27373.4752,521
214,20201009,22,11380551,26973.6674,522
215,20201009,23,11380551,26104.5937,523
216,20201010,00,11380551,25548.8455,600
217,20201010,01,11380551,25140.4338,601
218,20201010,02,11380551,24697.5374,602
219,20201010,03,11380551,24706.0871,603
220,20201010,04,11380551,24649.6626,604
